"n_facture";"id";"date_facture";"montant"
"39";"11";"29/05/2018";"0"
"41";"41";"29/05/2018";"0"
"44";"41";"29/05/2018";"0"
"45";"41";"29/05/2018";"0"
"46";"41";"29/05/2018";"0"
"47";"41";"29/05/2018";"0"
"48";"41";"29/05/2018";"0"
"49";"41";"29/05/2018";"0"
"50";"41";"29/05/2018";"0"
"51";"41";"29/05/2018";"0"
"52";"";"29/05/2018";"0"
"53";"43";"29/05/2018";"0"
"54";"";"29/05/2018";"0"
"55";"45";"29/05/2018";"0"
"56";"46";"29/05/2018";"0"
"57";"50";"24/05/2018";"0"
"58";"50";"30/05/2018";"0"
"59";"50";"30/05/2018";"0"
"60";"50";"24/05/2018";"0"
"61";"50";"30/05/2018";"0"
"62";"50";"30/05/2018";"0"
"63";"12";"22/01/2019";"0"
"64";"12";"30/05/2018";"0"
"65";"12";"30/05/2018";"0"
"66";"12";"29/05/2018";"0"
"67";"11";"29/05/2018";"0"
"68";"12";"30/05/2018";"0"
"69";"12";"30/05/2018";"0"
"70";"12";"29/05/2018";"0"
"71";"12";"30/05/2018";"0"
"72";"12";"30/05/2018";"0"
"73";"12";"30/05/2018";"0"
"74";"12";"30/05/2018";"0"
"75";"12";"30/05/2018";"0"
"76";"42";"29/05/2018";"0"
"77";"";"23/05/2018";"0"
"78";"56";"22/05/2018";"0"
"79";"58";"21/05/2018";"0"
"80";"61";"19/05/2018";"0"
"81";"68";"17/05/2018";"0"
"82";"75";"12/05/2018";"0"
"83";"79";"18/05/2018";"0"
"84";"";"17/05/2018";"0"
"86";"83";"10/05/2018";"0"
"87";"84";"30/05/2018";"0"
"89";"91";"15/05/2018";"0"
"90";"95";"08/05/2018";"0"
"91";"102";"07/05/2018";"0"
"92";"105";"23/05/2018";"0"
"93";"106";"11/05/2018";"0"
"94";"107";"11/05/2018";"0"
"95";"110";"19/05/2018";"0"
"96";"112";"17/05/2018";"0"
"97";"113";"17/05/2018";"0"
"98";"117";"22/05/2018";"0"
"99";"121";"31/05/2018";"0"
"100";"123";"31/05/2018";"0"
"101";"122";"31/05/2018";"0"
"102";"124";"01/06/2018";"0"
"103";"126";"01/06/2018";"0"
"104";"115";"21/06/2018";"0"
